,ricf_oid,ba_cn,ba_nfe,ba_gvm,ba_pgv,ba_ntr,ba_fdt,ba_bn,ba_evl,fa_dine_this,fa_dinu_this,cf_govc,fp_tt_end,Government-Link,Scope,Province
19,3164,陕西九九老龄事业基金会,5,0,0,非公募基金会,2011-04-20,5.0,3A,0.00,0.00,0.00,"34,036,397.74",NGF,Regional,Shaanxi
20,3680,甘肃兰海助学基金会,0,0,7,非公募基金会,2014-01-16,8.0,未参评,0.00,400.00,0.00,"5,016,952.12",NGF,Regional,Gansu
21,3641,黑龙江省东北农业大学教育发展基金会,2,0,0,非公募基金会,发起人,25.0,未参评,"4,158,432.75",500.09,0.00,"5,786,614.77",GLF,Regional,Heilongjiang
22,748,华中农业大学教育发展基金会,1,0,0,非公募基金会,发起人,14.0,未参评,0.00,"26,747,876.66",0.00,"73,437,207.71",GLF,Regional,Hubei
23,2267,浙江省和平慈善基金会,5,0,0,非公募基金会,2013-06-05,25.0,未参评,0.00,"5,471,467.32",0.00,"2,980,580.72",NGF,Regional,Zhejiang
24,244,中国残疾人福利基金会,56,0,1,公募基金会,1984-03-15,20.0,5A,"545,582,185.87","5,234,947.80","3,000,000.00","823,283,981.17",GLF,National,Beijing
25,3978,河北同商公益基金会,1,0,0,非公募基金会,2014-08-06,5.0,未参评,0.00,"5,631.87",0.00,"1,879,421.52",GLF,Regional,Hebei
26,2954,诸暨市人民教育基金会,2,3,0,公募基金会,1998-01-01,5.0,未参评,0.00,"1,414,500.00",0.00,"28,246,466.91",GLF,Regional,Zhejiang
27,1060,天津外国语大学教育发展基金会,1,0,0,非公募基金会,2005-10-14,8.0,3A,"6,441,790.68","4,518.00",0.00,"8,413,038.89",GLF,Regional,Tianjin
28,2967,贵州省孔学堂发展基金会,3,0,1,公募基金会,2013-12-23,14.0,未参评,0.00,"17,000,813.10",0.00,"165,123,429.67",GLF,Regional,Guizhou
29,1315,山西省代县雁门济困助学教育基金会,0,0,0,非公募基金会,2012-05-21,9.0,3A,0.00,0.00,0.00,"12,364,324.66",GLF,Regional,Shanxi
30,126,上海浦发公益基金会,0.0,0,0.0,非公募基金会,2008年05月07日,7.0,未参评,0.0,1124000.0,0.0,29464900.99,NGF,Regional,Shanghai
31,2684,瑞安市社会组织发展基金会,1,0,0,非公募基金会,2013-01-08,6.0,4A,"60,000.00",0.00,"20,000.00","4,867,879.98",GLF,Regional,Zhejiang
32,2283,浙江省必达爱心慈善基金会,2,0,0,非公募基金会,2012-09-04,6.0,未参评,0.00,"51,584.99",0.00,"1,882,861.14",NGF,Regional,Zhejiang
33,2197,济源市宝之源慈善基金会,3,0,0,非公募基金会,2012-01-12,5.0,未参评,0.00,"200,000.00",0.00,"2,014,922.85",NGF,Regional,Henan
34,3216,陕西省青少年发展基金会,10,0,0,公募基金会,2011-12-19,20.0,4A,"21,052,275.47",0.00,0.00,"11,634,654.35",GLF,Regional,Shaanxi
35,3309,黑龙江工程学院教育发展基金会,3,0,0,非公募基金会,2011-11-22,14.0,--,0.00,0.00,0.00,"3,345,003.19",GLF,Regional,Heilongjiang
36,2249,浙江盛威普世慈善基金会,1,0,0,非公募基金会,2012-08-10,5.0,未参评,0.00,"3,650,940.64","2,442.50","14,566,840.61",NGF,Regional,Zhejiang
37,4136,上海驭能赛车运动发展基金会,2.0,0,0.0,非公募基金会,2014年12月16日,7.0,未参评,0.0,1150300.0,0.0,2003959.75,NGF,Regional,Shanghai
38,4179,黑龙江省鹤岗市公安民警救助基金会,2,2,0,公募基金会,2014-05-19,10.0,--,0.00,0.00,0.00,"4,921,344.52",GLF,Regional,Heilongjiang
39,2219,浙江大学宁波理工学院教育发展基金会,5,0,0,非公募基金会,2011-03-01,8.0,未参评,"710,000.00","1,132,932.35",0.00,"10,339,980.36",GLF,Regional,Zhejiang
40,1774,昆明市见义勇为基金会,2,3,0,公募基金会,2003-02-13,25.0,3A,0.00,"100,000.00","1,555,000.00","12,658,832.11",GLF,Regional,Yunnan
41,2234,浙江敦和慈善基金会,15,0,0,非公募基金会,2012-05-11,15.0,未参评,"15,550,000.00","205,600,000.00",0.00,"298,060,829.78",NGF,Regional,Zhejiang
42,1818,杭州市萧山区见义勇为基金会,1,0,0,公募基金会,1992-08-01,24.0,未参评,0.00,0.00,0.00,"6,043,098.48",GLF,Regional,Zhejiang
43,2490,温州市瓯海社会组织发展基金会,2,0,0,非公募基金会,2012-11-13,7.0,未参评,0.00,0.00,"500,000.00","2,051,986.15",GLF,Regional,Zhejiang
44,1363,山西财经大学教育发展基金会,2,5,0,非公募基金会,2013-05-23,7.0,未参评,0.00,0.00,0.00,"22,470,442.56",GLF,Regional,Shanxi
45,2057,河北省教育基金会,2,0,0,非公募基金会,1996-10-04,9.0,4A,"868,983.50",0.00,0.00,"2,714,521.72",GLF,Regional,Hebei
46,2262,浙江省博爱教育基金会,1,0,0,非公募基金会,2005-11-01,5.0,未参评,0.00,0.00,0.00,"37,061,363.70",NGF,Regional,Zhejiang
47,133,上海电力学院教育发展基金会,0.0,0,0.0,非公募基金会,2010年02月12日,10.0,未参评,0.0,1058589.4,0.0,8835721.43,GLF,Regional,Shanghai
48,1255,宝鸡市残疾人福利基金会,3,0,0,公募基金会,2010-03-03,25.0,4A,"72,000.00","5,842,845.32","400,000.00","8,629,459.77",GLF,Regional,Shaanxi
49,252,中国牙病防治基金会,1,0,0,公募基金会,1994-04-01,25.0,3A,"2,896,377.52","128,217.84","1,100,000.00","9,942,333.93",GLF,National,Beijing
50,179,中华全国体育基金会,4,2,1,公募基金会,1994-04-01,19.0,4A,"56,623,761.92","12,795,864.66",0.00,"1,086,875,103.55",GLF,National,Beijing
51,1324,山西省合创爱心助困基金会,0,0,0,非公募基金会,2007-06-14,6.0,4A,0.00,"200,000.00",0.00,"2,179,516.65",NGF,Regional,Shanxi
52,19,上海交通大学教育发展基金会,14.0,0,0.0,非公募基金会,2005年01月27日,15.0,5A,267234564.76,8000000.0,0.0,1269724262.77,GLF,Regional,Shanghai
53,1175,宁波市江北区人民教育基金会,0,0,0,公募基金会,2005-11-01,6.0,未参评,0.00,"2,000,000.00",0.00,"19,034,554.94",GLF,Regional,Zhejiang
54,2145,河南省羚锐老区扶贫帮困基金会,3,0,0,非公募基金会,2008-01-10,7.0,未参评,0.00,"7,946,828.40",0.00,"2,160,343.97",NGF,Regional,Henan
55,2762,福建喜盈门慈善基金会,1,0,0,非公募基金会,2008-07-29,8.0,未参评,0.00,"5,950,000.00",0.00,"3,727,128.59",NGF,Regional,Fujian
56,2224,浙江宜尔阳光教育基金会,2,0,0,非公募基金会,2007-11-27,8.0,未参评,0.00,0.00,0.00,"2,342,468.37",NGF,Regional,Zhejiang
57,3747,广西瀚德明天慈善基金会,2,0,0,非公募基金会,2014-03-31,5.0,未参评,0.00,0.00,0.00,"1,927,549.44",NGF,Regional,Guangxi
58,3092,重庆市武隆县扶贫基金会,3,0,0,公募基金会,2012-12-05,15.0,3A,0.00,"6,512,000.00",0.00,"10,441,711.01",GLF,Regional,Chongqing
59,4099,上海仁心公益基金会,1.0,0,0.0,非公募基金会,2014年11月14日,5.0,未参评,0.0,0.0,0.0,1639074.78,NGF,Regional,Shanghai
60,33,上海同济高廷耀环保科技发展基金会,1.0,0,0.0,非公募基金会,2003年10月31日,14.0,未参评,0.0,300000.0,0.0,11843512.63,NGF,Regional,Shanghai
61,380,余姚市人民教育基金会,0,2,0,公募基金会,2005-03-23,5.0,未参评,0.00,"2,927,500.00",0.00,"15,823,017.46",GLF,Regional,Zhejiang
62,4075,上海广播电视台艺术人文发展基金会,4.0,0,0.0,非公募基金会,2014年10月21日,9.0,未参评,1670000.0,1000000.0,0.0,59727378.29,GLF,Regional,Shanghai
63,2110,河南省善爱公益基金会,3,0,0,非公募基金会,2013-03-26,7.0,未参评,"2,130,000.00","42,500.00",0.00,"2,082,799.63",NGF,Regional,Henan
64,55,上海市九段沙湿地自然保护基金会,0.0,0,0.0,公募基金会,2005年03月17日,9.0,未参评,0.0,400000.0,0.0,5723757.9,GLF,Regional,Shanghai
65,1835,桐乡市人民教育基金会,1,0,0,公募基金会,2010-04-22,5.0,1A,"7,721,850.00",0.00,0.00,"16,381,285.91",GLF,Regional,Zhejiang
66,2482,温州市优秀历史文化保护发展基金会,3,0,0,公募基金会,2008-03-02,19.0,未参评,0.00,0.00,0.00,"4,360,803.79",GLF,Regional,Zhejiang
67,3129,长安大学教育基金会,3,0,0,非公募基金会,2010-12-06,25.0,3A,"3,133,326.56","1,341,517.63",0.00,"10,173,212.31",GLF,Regional,Shaanxi
68,1183,宁波市镇海区富的教育基金会,0,0,0,非公募基金会,2012-07-09,5.0,未参评,"8,446,749.46",0.00,0.00,"33,324,794.55",GLF,Regional,Zhejiang
69,1160,宁波华茂教育基金会,1,0,0,非公募基金会,2009-05-25,5.0,未参评,"381,982.92","3,395,350.00",0.00,"80,332,088.38",NGF,Regional,Zhejiang
70,3022,辽宁省红十字基金会,1,0,0,公募基金会,2013-01-04,5.0,未参评,"7,990,865.36","108,323.04",0.00,"5,010,236.16",GLF,Regional,Liaoning
71,2071,河北省见义勇为基金会,8,0,0,公募基金会,1994-06-04,18.0,5A,"50,000.00","1,271.00",0.00,"30,785,327.66",GLF,Regional,Hebei
72,137,上海科技发展基金会,2.0,0,0.0,公募基金会,1992年01月30日,11.0,未参评,0.0,300000.0,0.0,83667161.88,GLF,Regional,Shanghai
73,257,中国益民文化建设基金会,5,0,0,公募基金会,1993-08-31,12.0,1A,0.00,0.00,0.00,"9,387,371.07",GLF,National,Beijing
74,107,上海文学发展基金会,0.0,0,0.0,公募基金会,1991年01月02日,17.0,未参评,0.0,600000.0,0.0,22229489.06,GLF,Regional,Shanghai
75,3820,浙江省杭州宋都公益基金会,0,0,0,非公募基金会,2014-05-27,6.0,未参评,0.00,"1,000,000.00",0.00,"18,177,741.78",NGF,Regional,Zhejiang
76,82,上海市浦东新区教育发展基金会,1.0,0,0.0,公募基金会,1992年06月06日,19.0,未参评,0.0,0.0,0.0,11043608.3,GLF,Regional,Shanghai
77,2979,贵州省贵阳市见义勇为基金会,4,1,0,公募基金会,2012-02-08,23.0,未参评,"79,500.00",0.00,"1,167,000.00","5,837,473.31",GLF,Regional,Guizhou
78,2108,河南省原动力公益基金会,2,0,0,非公募基金会,2012-12-03,6.0,未参评,0.00,0.00,0.00,"2,216,766.39",NGF,Regional,Henan
79,889,台州市路桥区教育发展基金会,0,0,0,公募基金会,2004-10-21,2.0,--,0.00,"379,052.70",0.00,"12,110,290.69",GLF,Regional,Zhejiang
80,81,上海市帮困互助基金会,10.0,0,0.0,公募基金会,2003年12月25日,18.0,5A,0.0,60973926.4,0.0,147636611.3,GLF,Regional,Shanghai
81,61,上海市医药卫生发展基金会,9.0,0,0.0,公募基金会,2012年06月04日,24.0,未参评,2250000.0,8752300.0,0.0,38808819.47,GLF,Regional,Shanghai
82,947,呼伦贝尔市扶贫基金会,3,0,0,公募基金会,2011-06-24,8.0,3A,0.00,"234,000.00",0.00,"4,165,535.56",GLF,Regional,Neimenggu
83,3408,重庆市急救医疗救助基金会,3,0,0,非公募基金会,2006-03-01,10.0,2A,0.00,0.00,0.00,"2,161,414.76",GLF,Regional,Chongqing
84,4188,河南省中原社会工作发展基金会,1,0,0,非公募基金会,2014-08-14,10.0,未参评,0.00,"400,000.00",0.00,"4,820,708.98",GLF,Regional,Henan
85,2075,河北省青少年发展基金会,9,3,0,公募基金会,1993-06-07,13.0,5A,"18,106,095.83",0.00,0.00,"53,672,085.84",GLF,Regional,Hebei
86,1173,宁波市残疾人福利基金会,5,0,0,公募基金会,1985-08-01,10.0,未参评,0.00,0.00,0.00,"5,953,889.25",GLF,Regional,Zhejiang
87,3496,广西桂林医学院教育发展基金会,5,0,0,非公募基金会,2014-12-08,13.0,未参评,"121,000.00","138,100.00",0.00,"4,885,119.96",GLF,Regional,Guangxi
88,3617,云南杨丽萍民族文化艺术基金会,2,0,0,非公募基金会,2013-10-15,5.0,3A,0.00,"1,500,000.00",0.00,"4,429,473.87",NGF,Regional,Yunnan
89,2497,温州市龙湾区人民教育基金会,0,0,0,公募基金会,2008-06-26,20.0,未参评,0.00,"124,000.00","46,000.00","593,810.71",GLF,Regional,Zhejiang
90,4200,浙江大学城市学院教育基金会,0,0,0,非公募基金会,2014-12-24,10.0,未参评,"844,999.16","1,760,000.00",0.00,"3,979,857.74",GLF,Regional,Zhejiang
91,1102,天津市青少年科学基金会,3,0,0,非公募基金会,1994-06-24,8.0,1A,0.00,"133,000.00",0.00,"2,004,999.37",GLF,Regional,Tianjin
92,23,上海兴韦信息技术职业学院教育发展基金会,6,0,0,,2013年01月04日,,未参评,0.0,3200000.0,0.0,2516841.9,GLF,Regional,Shanghai
93,23,上海兴伟学院教育发展基金会,6.0,,0.0,非公募基金会,2013年01月04日,9.0,,0.0,3200000.0,0.0,2516841.9,GLF,Regional,Shanghai
94,2939,西安电子科技大学教育基金会,4,0,0,非公募基金会,2010-05-07,13.0,3A,"32,347,169.85",0.00,0.00,"38,446,727.46",GLF,Regional,Shaanxi
95,974,嘉兴市见义勇为基金会,1,1,0,公募基金会,2010-04-15,8.0,未参评,0.00,0.00,"216,000.00","6,792,767.05",GLF,Regional,Zhejiang
96,1065,天津市佛教慈善功德基金会,4,0,0,公募基金会,2005-01-25,26.0,未参评,0.00,"1,092,601.00",0.00,"5,821,035.82",GLF,Regional,Tianjin
97,2202,浙江中医药大学教育基金会,2,4,0,非公募基金会,2013-04-03,15.0,未参评,"12,055,000.00","2,097,900.00",0.00,"15,614,602.44",GLF,Regional,Zhejiang
98,3192,陕西省府谷县教育基金会,8,0,0,非公募基金会,2010-11-02,10.0,--,0.00,0.00,0.00,0.00,GLF,Regional,Shaanxi
99,218,中国华夏文化遗产基金会,9,0,0,公募基金会,2007-08-28,8.0,3A,"12,090,000.00","1,658,000.00",0.00,"47,645,658.37",GLF,National,Beijing
100,888,台州市见义勇为基金会,0,4,0,公募基金会,2011-03-24,22.0,未参评,0.00,0.00,"300,000.00","7,217,393.19",GLF,Regional,Zhejiang
101,1867,民福社会福利基金会,0,0,0,非公募基金会,2012-03-16,7.0,未参评,0.00,"1,500,000.00",0.00,"21,102,147.25",NGF,National,Beijing
102,3250,青海冬虫夏草与人类健康研究发展基金会,0,0,0,非公募基金会,2009-06-03,5.0,未参评,0.00,0.00,0.00,"1,948,744.93",NGF,Regional,Qinghai
103,3005,辽宁省公益基金会,3,0,0,公募基金会,2006-01-26,5.0,4A,0.00,"1,421,274.06",0.00,"4,567,512.05",GLF,Regional,Liaoning
104,18,上海交响乐团文化发展基金会,2.0,0,0.0,非公募基金会,1992年06月19日,7.0,5A,0.0,20590000.0,0.0,103117809.12,GLF,Regional,Shanghai
105,2047,河北省佛教慈善基金会,8,0,0,非公募基金会,2012-05-10,9.0,4A,"7,184,136.72","670,274.90",0.00,"13,093,221.24",GLF,Regional,Hebei
106,2089,河南省上上公益基金会,1,0,0,非公募基金会,2013-03-26,5.0,未参评,0.00,"662,148.87",0.00,"2,106,667.15",NGF,Regional,Henan
107,64,上海市卢湾区教育基金会,--,--,--,公募基金会,1992年06月19日,,--,0.0,0.0,0.0,0.0,GLF,Regional,Shanghai
108,2322,浙江财经大学教育基金会,6,0,0,非公募基金会,2013-08-02,23.0,未参评,"8,445,189.86",0.00,0.00,"22,886,042.30",GLF,Regional,Zhejiang
109,1116,宁波市奉化区人民教育基金会,2,0,0,公募基金会,2007-09-06,14.0,未参评,0.00,"320,000.00",0.00,"21,216,441.24",GLF,Regional,Zhejiang
110,2149,河南省老龄产业发展基金会,4,0,0,公募基金会,2012-06-15,6.0,未参评,0.00,"200,000.00",0.00,"1,646,729.39",GLF,Regional,Henan
111,146,上海财经大学教育发展基金会,6.0,0,0.0,非公募基金会,2008年10月31日,11.0,未参评,0.0,31074542.38,0.0,73821170.08,GLF,Regional,Shanghai
112,3538,致福慈善基金会,1,1,1,非公募基金会,2013-08-30,11.0,未参评,0.00,"3,820,120.00",0.00,"36,315,081.09",GLF,National,Beijing
113,345,云南省禁毒与防治艾滋病基金会,2,0,0,公募基金会,2005-09-14,5.0,--,0.00,0.00,0.00,"2,857,057.94",GLF,Regional,Yunnan
114,3307,黑龙江垦区一戎水稻科技奖励基金会,1,0,0,非公募基金会,2009-11-30,5.0,未参评,0.00,0.00,0.00,"3,612,295.47",GLF,Regional,Heilongjiang
115,350,云南省视界留学基金会,0,0,0,非公募基金会,2010-02-10,7.0,3A,0.00,"500,000.00",0.00,"3,025,607.56",GLF,Regional,Yunnan
116,62,上海市华东师范大学教育发展基金会,8.0,0,0.0,非公募基金会,2007年12月28日,20.0,4A,44805959.84,62180.0,0.0,256849520.08,GLF,Regional,Shanghai
117,1066,天津市冬朋助学基金会,0,0,0,非公募基金会,2007-11-07,7.0,3A,0.00,"170,000.00",0.00,"2,304,857.58",NGF,Regional,Tianjin
118,3751,浙江省锦麟公益基金会,4,0,0,非公募基金会,2014-04-08,12.0,未参评,"1,515,840.80","24,350.00",0.00,"2,319,424.52",NGF,Regional,Zhejiang
119,2208,浙江农林大学教育基金会,2,0,0,非公募基金会,2010-12-23,21.0,未参评,"5,652,258.25","10,697,088.22",0.00,"26,305,838.08",GLF,Regional,Zhejiang
120,3188,陕西省天骄煤矿子弟助学基金会,0,0,0,非公募基金会,2010-08-24,7.0,未参评,0.00,0.00,0.00,"27,196,486.25",GLF,Regional,Shaanxi
121,2506,湖北工程学院教育发展基金会,0,0,0,非公募基金会,2010-09-17,11.0,未参评,0.00,"347,470.71",0.00,"7,909,041.59",GLF,Regional,Hubei
122,2251,浙江省义乌市教育基金会,0,0,0,公募基金会,2004-06-28,6.0,未参评,0.00,0.00,0.00,"5,042,739.63",GLF,Regional,Zhejiang
123,3589,延安革命旧址保护基金会,5,0,0,公募基金会,2013-09-03,13.0,--,0.00,"2,000,000.00",0.00,"12,299,887.21",GLF,Regional,Shaanxi
124,3160,陈嘉庚科学奖基金会,2,0,4,非公募基金会,2003-02-20,24.0,2A,0.00,"3,000,000.00",0.00,"46,142,544.48",GLF,National,Beijing
125,332,云南省公安民警英烈基金会,3,3,0,公募基金会,2005-09-27,1.0,4A,0.00,"6,536,019.10",0.00,"124,290,886.88",GLF,Regional,Yunnan
126,53,上海巴斯德健康研究基金会,0.0,0,0.0,非公募基金会,2007年03月14日,9.0,未参评,0.0,366905.81,0.0,2275635.64,NGF,Regional,Shanghai
127,2869,腾讯公益慈善基金会,13,0,0,非公募基金会,2007-06-26,13.0,3A,"9,907,432.89","570,618,426.98",0.00,"1,023,944,917.50",NGF,National,Guangdong
128,2934,襄城县成就未来助学基金会,5,0,0,公募基金会,2006-09-28,25.0,未参评,0.00,0.00,0.00,"12,470,613.01",GLF,Regional,Henan
129,1834,桃源居公益事业发展基金会,5,0,0,非公募基金会,2008-07-16,7.0,4A,0.00,0.00,0.00,"103,809,323.28",NGF,National,Guangdong
130,2363,海宁市农业技术推广基金会,2,0,0,公募基金会,2013-11-15,7.0,未参评,0.00,0.00,"460,000.00","7,278,131.69",GLF,Regional,Zhejiang
131,472,包商银行公益基金会,3,0,0,非公募基金会,2012-11-08,5.0,未参评,0.00,"5,501,085.53",0.00,"51,075,183.85",NGF,National,Beijing
132,2772,福建海西青年创业基金会,4,0,0,非公募基金会,2007-06-01,7.0,4A,0.00,"492,146.00",0.00,"11,088,202.15",GLF,Regional,Fujian
133,1643,广西革命老区建设基金会,6,0,1,公募基金会,2012-12-28,22.0,未参评,0.00,"305,000.00",0.00,"7,570,625.97",GLF,Regional,Guangxi
134,3089,重庆市卢作孚教育基金会,3,0,1,非公募基金会,2010-06-12,9.0,3A,"2,000,000.00",0.00,0.00,"4,685,651.40",NGF,Regional,Chongqing
135,2264,浙江省台州市农业技术推广基金会,1,0,0,公募基金会,2011-12-01,24.0,3A,0.00,0.00,"2,741,000.00","13,341,827.34",GLF,Regional,Zhejiang
136,2998,辽宁爱之光防盲基金会,7,0,0,非公募基金会,2006-10-08,8.0,4A,0.00,"3,429,937.40",0.00,"10,480,562.82",NGF,Regional,Liaoning
137,3028,辽宁省辽宁工程技术大学教育基金会,7,0,0,非公募基金会,2009-07-29,17.0,4A,"191,567.10",0.00,0.00,"10,588,590.41",GLF,Regional,Liaoning
138,3802,河北省悦盛公益慈善基金会,3,0,0,非公募基金会,2014-04-29,8.0,未参评,0.00,"200,000.00",0.00,"2,023,000.00",NGF,Regional,Hebei
139,315,云南启晨生命生存生活教育基金会,4,0,0,非公募基金会,2011-07-18,9.0,未参评,0.00,0.00,0.00,"2,294,035.41",NGF,Regional,Yunnan
140,116,上海民生公益基金会,2.0,0,0.0,非公募基金会,2010年02月09日,7.0,未参评,0.0,2382196.8,0.0,32620741.04,NGF,Regional,Shanghai
141,1088,天津市海河文化发展基金会,3,0,0,公募基金会,2009-07-27,8.0,4A,"743,511.56","1,540,860.19",0.00,"4,469,877.35",NGF,Regional,Tianjin
142,2925,葫芦岛市公安民警救助基金会,0,1,0,公募基金会,2012-07-10,24.0,未参评,"200,000.00",0.00,0.00,"7,769,942.18",GLF,Regional,Liaoning
143,2218,浙江圣爱慈善基金会,1,0,0,非公募基金会,2009-12-03,9.0,未参评,"4,000,000.00","1,020,925.04",0.00,"10,854,079.17",NGF,Regional,Zhejiang
144,2977,贵州省见义勇为基金会,5,1,0,公募基金会,2008-06-30,12.0,3A,"450,200.00",0.00,"4,300,000.00","13,989,085.25",GLF,Regional,Guizhou
145,1054,大连慈善基金会,13,0,1,公募基金会,2006-03-02,25.0,5A,"26,024,870.18","9,802.00",0.00,"59,460,244.89",GLF,Regional,Liaoning
146,3544,上海回向文化发展基金会,2.0,0,0.0,非公募基金会,2013年08月09日,9.0,未参评,4301195.88,76000.0,1532300.0,4228853.69,NGF,Regional,Shanghai
147,698,北京科技大学教育发展基金会,5,0,0,非公募基金会,2012-05-09,7.0,3A,"32,231,708.88","17,760,862.46",0.00,"94,558,612.39",GLF,Regional,Beijing
148,47,上海大成慈善基金会,2.0,0,0.0,非公募基金会,2013年12月10日,9.0,未参评,0.0,2700000.0,0.0,5138973.22,NGF,Regional,Shanghai
149,3276,鞍山市公安民警英烈救助基金会,0,0,0,公募基金会,2012-10-25,17.0,未参评,0.00,"319,950.00",0.00,"5,020,790.07",GLF,Regional,Liaoning
150,134,上海百马慈善基金会,1.0,0,0.0,非公募基金会,2008年10月22日,9.0,未参评,0.0,50000.0,0.0,2177920.09,NGF,Regional,Shanghai
151,468,凯风公益基金会,7,0,0,非公募基金会,2007-03-01,6.0,3A,0.00,0.00,0.00,"53,178,859.70",NGF,National,Beijing
152,1638,广西红十字基金会,9,0,1,公募基金会,1995-03-06,19.0,5A,"9,461,938.73","410,000.00","300,000.00","29,912,753.21",GLF,Regional,Guangxi
153,1107,天津广播电视大学教育发展基金会,1,0,0,非公募基金会,2007-02-06,13.0,4A,0.00,0.00,0.00,"2,085,986.01",GLF,Regional,Tianjin
154,2682,瑞安市人民教育基金会,3,0,0,公募基金会,2005-11-28,15.0,未参评,"1,348,409.50","750,000.00",0.00,"131,510,716.76",GLF,Regional,Zhejiang
155,2687,甘肃兴华青少年助学基金会,0,0,0,非公募基金会,2012-02-16,7.0,3A,0.00,"5,455,101.80",0.00,"16,714,115.41",NGF,Regional,Gansu
156,290,丹东市公安民警救助基金会,3,0,0,公募基金会,2009-12-15,23.0,未参评,0.00,"1,276,000.00",0.00,"4,192,121.62",GLF,Regional,Liaoning
157,3792,青山慈善基金会,3,0,0,非公募基金会,2014-04-14,6.0,未参评,0.00,"12,988,663.79",0.00,"59,386,473.55",NGF,National,Shanghai
158,118,上海水资源保护基金会,2.0,0,0.0,公募基金会,2007年12月28日,25.0,未参评,0.0,582760.7,0.0,13633789.44,GLF,Regional,Shanghai
159,1637,广西社会和谐稳定发展基金会,9,1,0,公募基金会,2010-12-28,18.0,5A,0.00,"3,926,380.76","900,000.00","10,436,138.37",GLF,Regional,Guangxi
160,1822,杭州市送温暖工程基金会,0,0,0,公募基金会,1998-07-28,13.0,未参评,0.00,"1,000,000.00",0.00,"16,327,881.82",GLF,Regional,Zhejiang
161,3202,陕西省社会公益基金会,4,0,0,公募基金会,2006-09-15,5.0,--,"2,964.00","16,000.00",0.00,"3,824,919.77",GLF,Regional,Shaanxi
